query_genome	query_id	query_length_bp	query_start_0based	query_end_0based	ref_id	ref_length_bp	ref_start_0based	ref_end_0based	orientation	matching_bases	alignment_block_length_bp	ref_span_bp	percent_identity	mapping_quality
FoCotton	JH657926.1	1190151	450948	496859	NC_030986.1	6854980	891328	937471	same	45203	46132	46143	97.9862	60
FoCotton	JH657926.1	1190151	497451	502758	NC_030986.1	6854980	937996	943311	same	5192	5320	5315	97.5940	60
FoCotton	JH657926.1	1190151	503028	533238	NC_030986.1	6854980	943544	973717	same	29650	30268	30173	97.9582	60
FoCotton	JH657926.1	1190151	533386	585371	NC_030986.1	6854980	973871	1025821	same	51368	52047	51950	98.6954	60
FoCotton	JH657926.1	1190151	585592	622247	NC_030986.1	6854980	1026044	1062598	same	36280	36668	36554	98.9419	60
FoCotton	JH657926.1	1190151	622355	683568	NC_030986.1	6854980	1062723	1123966	same	60523	61327	61243	98.6890	60
FoCotton	JH657926.1	1190151	686959	697741	NC_030986.1	6854980	1127152	1137952	same	10667	10822	10800	98.5677	60
FoCotton	JH657926.1	1190151	697891	803120	NC_030986.1	6854980	1138113	1243454	same	104186	105299	105341	98.9430	60
FoCotton	JH657926.1	1190151	804598	882215	NC_030986.1	6854980	1244348	1322616	same	76656	78382	78268	97.7980	60
FoCotton	JH657926.1	1190151	882375	918870	NC_030986.1	6854980	1322784	1358917	same	35789	36579	36133	97.8403	60
FoCotton	JH657926.1	1190151	919085	961157	NC_030986.1	6854980	1359247	1400307	same	40473	41700	41060	97.0576	60
FoCotton	JH657926.1	1190151	961741	993873	NC_030986.1	6854980	1401054	1432100	same	30692	32160	31046	95.4353	60
FoCotton	JH657926.1	1190151	998988	1124079	NC_030986.1	6854980	1439397	1565615	same	123582	126313	126218	97.8379	60
FoCotton	JH657926.1	1190151	1124477	1133378	NC_030986.1	6854980	1566074	1574979	same	8832	8905	8905	99.1802	60
FoCotton	JH657926.1	1190151	1133536	1162106	NC_030986.1	6854980	1575149	1603705	same	28181	28598	28556	98.5419	60
FoCotton	JH657927.1	1129237	1118940	1122729	NC_030986.1	6854980	1604705	1608496	opposite	3771	3793	3791	99.4200	60
FoCotton	JH657927.1	1129237	1016247	1117318	NC_030986.1	6854980	1610354	1711439	opposite	100032	101312	101085	98.7366	60
FoCotton	JH657927.1	1129237	994187	1016141	NC_030986.1	6854980	1711541	1733541	opposite	21737	22042	22000	98.6163	60
FoCotton	JH657927.1	1129237	972514	993691	NC_030986.1	6854980	1734176	1755293	opposite	20969	21222	21117	98.8078	60
FoCotton	JH657927.1	1129237	889123	972410	NC_030986.1	6854980	1755401	1838835	opposite	82454	83329	83434	98.9499	60
FoCotton	JH657927.1	1129237	862417	888513	NC_030986.1	6854980	1839452	1866150	opposite	25797	26717	26698	96.5565	60
FoCotton	JH657927.1	1129237	849647	860869	NC_030986.1	6854980	1867885	1879114	opposite	11087	11266	11229	98.4111	60
FoCotton	JH657927.1	1129237	818383	849128	NC_030986.1	6854980	1879754	1910582	opposite	30399	30867	30828	98.4838	60
FoCotton	JH657927.1	1129237	768834	817935	NC_030986.1	6854980	1911218	1960778	opposite	48570	49141	49560	98.8380	60
FoCotton	JH657927.1	1129237	741716	768309	NC_030986.1	6854980	1961368	1988142	opposite	26348	26813	26774	98.2658	60
FoCotton	JH657927.1	1129237	694199	741346	NC_030986.1	6854980	1988594	2035931	opposite	46584	47162	47337	98.7744	60
FoCotton	JH657927.1	1129237	690368	693657	NC_030986.1	6854980	2036756	2040066	opposite	3260	3314	3310	98.3705	60
FoCotton	JH657927.1	1129237	676658	689794	NC_030986.1	6854980	2040554	2053708	opposite	13006	13158	13154	98.8448	60
FoCotton	JH657927.1	1129237	642645	675794	NC_030986.1	6854980	2054359	2087447	opposite	32822	33205	33088	98.8466	60
FoCotton	JH657927.1	1129237	478811	641995	NC_030986.1	6854980	2087927	2250772	opposite	161491	163308	162845	98.8874	60
FoCotton	JH657927.1	1129237	419639	478418	NC_030986.1	6854980	2251302	2308623	opposite	56655	58788	57321	96.3717	60
FoCotton	JH657927.1	1129237	350339	419519	NC_030986.1	6854980	2308749	2377906	opposite	68379	69391	69157	98.5416	60
FoCotton	JH657927.1	1129237	166265	350223	NC_030986.1	6854980	2378057	2560625	opposite	180578	184407	182568	97.9236	60
FoCotton	JH657927.1	1129237	140248	165953	NC_030986.1	6854980	2561055	2587040	opposite	25280	26117	25985	96.7952	60
FoCotton	JH657927.1	1129237	138919	140082	NC_030986.1	6854980	2587174	2588332	opposite	1095	1185	1158	92.4051	60
FoCotton	JH657927.1	1129237	136285	138656	NC_030986.1	6854980	2588590	2590990	opposite	2203	2402	2400	91.7152	60
FoCotton	JH657927.1	1129237	115349	134548	NC_030986.1	6854980	2597997	2616198	opposite	17890	19218	18201	93.0898	60
FoCotton	JH657927.1	1129237	99031	115268	NC_030986.1	6854980	2616280	2632513	opposite	16105	16242	16233	99.1565	60
FoCotton	JH657927.1	1129237	68413	98140	NC_030986.1	6854980	2634085	2662913	opposite	28436	29369	28828	96.8232	60
FoCotton	JH657927.1	1129237	53071	68187	NC_030986.1	6854980	2663281	2678117	opposite	14667	15161	14836	96.7416	60
FoCotton	JH657927.1	1129237	27215	52702	NC_030986.1	6854980	2678480	2704155	opposite	25294	25689	25675	98.4624	60
FoCotton	JH657927.1	1129237	40	27053	NC_030986.1	6854980	2704318	2731355	opposite	26811	27057	27037	99.0908	60
FoCotton	JH657937.1	530078	466633	529816	NC_030986.1	6854980	2731354	2794413	opposite	62564	63254	63059	98.9092	60
FoCotton	JH657937.1	530078	360909	466541	NC_030986.1	6854980	2794507	2899757	opposite	103684	106111	105250	97.7128	60
FoCotton	JH657937.1	530078	349462	360416	NC_030986.1	6854980	2900219	2909649	opposite	9326	10963	9430	85.0680	60
FoCotton	JH657937.1	530078	309269	349120	NC_030986.1	6854980	2910153	2950021	opposite	39480	39918	39868	98.9028	60
FoCotton	JH657937.1	530078	283539	309149	NC_030986.1	6854980	2950137	2975731	opposite	25370	25632	25594	98.9778	60
FoCotton	JH657937.1	530078	179	282758	NC_030986.1	6854980	2977184	3256007	opposite	276071	282662	278823	97.6682	60
FoCotton	JH657928.1	1035594	101	20382	NC_030986.1	6854980	3256008	3274241	same	18095	20186	18233	89.6413	60
FoCotton	JH657928.1	1035594	20621	25220	NC_030986.1	6854980	3274486	3279088	same	4549	4614	4602	98.5912	60
FoCotton	JH657928.1	1035594	25668	86967	NC_030986.1	6854980	3279507	3341020	same	60667	61407	61513	98.7949	60
FoCotton	JH657928.1	1035594	87840	130509	NC_030986.1	6854980	3341778	3384547	same	42363	42813	42769	98.9489	60
FoCotton	JH657928.1	1035594	130696	257957	NC_030986.1	6854980	3384727	3511518	same	125352	127464	126791	98.3431	60
FoCotton	JH657928.1	1035594	258442	371964	NC_030986.1	6854980	3511844	3625585	same	112396	113910	113741	98.6709	60
FoCotton	JH657928.1	1035594	372095	373404	NC_030986.1	6854980	3625718	3627027	same	1273	1309	1309	97.2498	60
FoCotton	JH657928.1	1035594	373698	377182	NC_030986.1	6854980	3627347	3630814	same	3411	3486	3467	97.8485	60
FoCotton	JH657928.1	1035594	377313	378704	NC_030986.1	6854980	3631042	3632421	same	1362	1395	1379	97.6344	60
FoCotton	JH657928.1	1035594	378935	460589	NC_030986.1	6854980	3632639	3714483	same	80478	81917	81844	98.2433	60
FoCotton	JH657928.1	1035594	462001	495764	NC_030986.1	6854980	3715878	3749639	same	33470	33794	33761	99.0412	60
FoCotton	JH657928.1	1035594	495880	650557	NC_030986.1	6854980	3749762	3903657	same	151356	155334	153895	97.4391	60
FoCotton	JH657928.1	1035594	651351	671850	NC_030986.1	6854980	3905362	3926630	same	20276	21172	21268	95.7680	60
FoCotton	JH657928.1	1035594	672287	672804	NC_030986.1	6854980	3926627	3927150	same	514	523	523	98.2792	60
FoCotton	JH657928.1	1035594	673068	697849	NC_030986.1	6854980	3927500	3952299	same	24495	24869	24799	98.4961	60
FoCotton	JH657928.1	1035594	697940	776824	NC_030986.1	6854980	3952389	4031489	same	77989	78854	79100	98.9030	60
FoCotton	JH657928.1	1035594	777466	783420	NC_030986.1	6854980	4032197	4038134	same	5905	5956	5937	99.1437	60
FoCotton	JH657928.1	1035594	783683	789049	NC_030986.1	6854980	4038496	4043866	same	5342	5373	5370	99.4230	60
FoCotton	JH657928.1	1035594	789137	914067	NC_030986.1	6854980	4043960	4169703	same	123640	125915	125743	98.1932	60
FoCotton	JH657928.1	1035594	914137	1021219	NC_030986.1	6854980	4169773	4276331	same	105419	107357	106558	98.1948	60
FoCotton	JH657928.1	1035594	1021725	1026896	NC_030986.1	6854980	4276883	4282042	same	5120	5181	5159	98.8226	60
FoCotton	JH657928.1	1035594	1027165	1035513	NC_030986.1	6854980	4282857	4291236	same	8257	8406	8379	98.2275	60
FoCotton	JH657924.1	1221218	73	3719	NC_030986.1	6854980	4291235	4294882	same	3626	3647	3647	99.4242	60
FoCotton	JH657924.1	1221218	4703	52045	NC_030986.1	6854980	4295892	4343292	same	46651	47383	47400	98.4551	60
FoCotton	JH657924.1	1221218	52310	132277	NC_030986.1	6854980	4343647	4423720	same	79135	80019	80073	98.8953	60
FoCotton	JH657924.1	1221218	132692	151609	NC_030986.1	6854980	4424235	4443168	same	18665	18954	18933	98.4753	60
FoCotton	JH657987.1	119716	81789	84675	NC_030986.1	6854980	4444604	4447490	opposite	2605	2886	2886	90.2633	34
FoCotton	JH657924.1	1221218	153667	160097	NC_030986.1	6854980	4447694	4454123	same	6349	6433	6429	98.6942	60
FoCotton	JH657924.1	1221218	160368	193155	NC_030986.1	6854980	4454408	4485563	same	30303	32790	31155	92.4154	60
FoCotton	JH657924.1	1221218	193624	195089	NC_030986.1	6854980	4487533	4489001	same	1463	1468	1468	99.6594	60
FoCotton	JH657924.1	1221218	197442	230673	NC_030986.1	6854980	4491869	4524813	same	32504	33168	32944	97.9981	60
FoCotton	JH657924.1	1221218	230838	289855	NC_030986.1	6854980	4524981	4580341	same	54768	59072	55360	92.7140	60
FoCotton	JH657924.1	1221218	290046	407437	NC_030986.1	6854980	4580548	4697682	same	116150	117460	117134	98.8847	60
FoCotton	JH657924.1	1221218	407501	430624	NC_030986.1	6854980	4697755	4720807	same	22742	23059	23052	98.6253	60
FoCotton	JH657924.1	1221218	431938	523368	NC_030986.1	6854980	4722921	4812740	same	88817	91675	89819	96.8825	60
FoCotton	JH657924.1	1221218	523553	636576	NC_030986.1	6854980	4812901	4927293	same	111525	114508	114392	97.3949	60
FoCotton	JH657924.1	1221218	636801	657843	NC_030986.1	6854980	4927847	4948985	same	20687	21090	21138	98.0891	60
FoCotton	JH657924.1	1221218	658221	661186	NC_030986.1	6854980	4949461	4952425	same	2952	2965	2964	99.5616	60
FoCotton	JH657924.1	1221218	661447	664025	NC_030986.1	6854980	4952818	4955393	same	2568	2578	2575	99.6121	60
FoCotton	JH657924.1	1221218	664681	687736	NC_030986.1	6854980	4955991	4977347	same	20733	23201	21356	89.3625	60
FoCotton	JH657924.1	1221218	687841	768551	NC_030986.1	6854980	4977456	5058206	same	79906	80779	80750	98.9193	60
FoCotton	JH657924.1	1221218	782074	835237	NC_030986.1	6854980	5070813	5124491	same	52400	53758	53678	97.4739	60
FoCotton	JH657924.1	1221218	836369	869137	NC_030986.1	6854980	5125635	5158303	same	32257	32729	32668	98.5579	60
FoCotton	JH657924.1	1221218	869327	1002808	NC_030986.1	6854980	5158564	5292335	same	131876	133817	133771	98.5495	60
FoCotton	JH657924.1	1221218	1002912	1053838	NC_030986.1	6854980	5292448	5343375	same	50154	50891	50927	98.5518	60
FoCotton	JH657924.1	1221218	1053846	1054342	NC_030986.1	6854980	5344255	5344751	opposite	485	496	496	97.7823	60
FoCotton	JH657924.1	1221218	1054387	1056097	NC_030986.1	6854980	5344759	5346473	same	1639	1715	1714	95.5685	60
FoCotton	JH657924.1	1221218	1056650	1109624	NC_030986.1	6854980	5347194	5399400	same	51210	52775	52206	97.0346	60
FoCotton	JH657924.1	1221218	1115154	1126127	NC_030986.1	6854980	5401392	5412580	same	10725	11221	11188	95.5797	60
FoCotton	JH657924.1	1221218	1126239	1147924	NC_030986.1	6854980	5412704	5434408	same	21410	21719	21704	98.5773	60
FoCotton	JH657924.1	1221218	1148489	1173638	NC_030986.1	6854980	5435537	5461677	same	24469	25877	26140	94.5589	60
FoCotton	JH657924.1	1221218	1177082	1199049	NC_030986.1	6854980	5465226	5484360	same	18641	22004	19134	84.7164	60
FoCotton	JH657924.1	1221218	1204284	1220731	NC_030986.1	6854980	5487607	5500322	same	12330	16449	12715	74.9590	60
FoCotton	JH657967.1	209433	703	1812	NC_030986.1	6854980	5501093	5502202	same	1013	1109	1109	91.3436	60
FoCotton	JH657967.1	209433	2423	30822	NC_030986.1	6854980	5502491	5527438	same	24372	28456	24947	85.6480	60
FoCotton	JH657967.1	209433	34317	37838	NC_030986.1	6854980	5530542	5534061	same	3428	3523	3519	97.3034	60
FoCotton	JH657967.1	209433	38073	56554	NC_030986.1	6854980	5534378	5552646	same	17836	18527	18268	96.2703	60
FoCotton	JH657967.1	209433	56982	57535	NC_030986.1	6854980	5553107	5553660	same	548	553	553	99.0958	60
FoCotton	JH657967.1	209433	58934	137588	NC_030986.1	6854980	5556343	5634958	same	77551	78737	78615	98.4937	60
FoCotton	JH657967.1	209433	139406	144444	NC_030986.1	6854980	5637912	5642945	same	4963	5059	5033	98.1024	60
FoCotton	JH657967.1	209433	144717	151732	NC_030986.1	6854980	5643296	5650316	same	6924	7028	7020	98.5202	60
FoCotton	JH657967.1	209433	151975	158620	NC_030986.1	6854980	5650546	5657192	same	6572	6655	6646	98.7528	60
FoCotton	JH657967.1	209433	166164	199136	NC_030986.1	6854980	5664799	5697514	same	31595	33265	32715	94.9797	60
FoCotton	JH657967.1	209433	199419	202923	NC_030986.1	6854980	5697802	5701298	same	3435	3507	3496	97.9470	60
FoCotton	KK035257.1	26975	4364	26886	NC_030986.1	6854980	5708742	5729728	opposite	20504	22540	20986	90.9672	60
FoCotton	KK035257.1	26975	65	3701	NC_030986.1	6854980	5730371	5734007	opposite	3583	3636	3636	98.5424	60
FoCotton	JH658004.1	98198	21710	32853	NC_030986.1	6854980	5968149	5979286	opposite	10513	11214	11137	93.7489	60
FoCotton	KK035230.1	75149	27820	28393	NC_030986.1	6854980	6001344	6001918	same	549	575	574	95.4783	0
FoCotton	JH658086.1	31686	11599	14791	NC_030986.1	6854980	6005420	6008599	same	3055	3192	3179	95.7080	0
FoCotton	KK035658.1	2056	326	1147	NC_030986.1	6854980	6007781	6008599	opposite	774	831	818	93.1408	0
FoCotton	KK035282.1	17112	0	929	NC_030986.1	6854980	6034456	6035365	same	895	930	909	96.2366	0
FoCotton	JH658084.1	33835	14582	19476	NC_030986.1	6854980	6084058	6088940	opposite	4655	4899	4882	95.0194	0
FoCotton	JH658151.1	16271	9494	11026	NC_030986.1	6854980	6090920	6092453	same	1516	1533	1533	98.8911	0
FoCotton	JH658074.1	35225	16395	17252	NC_030986.1	6854980	6094582	6095442	opposite	822	860	860	95.5814	0
FoCotton	JH658113.1	23815	0	943	NC_030986.1	6854980	6101199	6102142	same	938	943	943	99.4698	0
FoCotton	JH658051.1	44743	44137	44743	NC_030986.1	6854980	6101545	6102151	opposite	599	606	606	98.8449	0
FoCotton	JH657972.1	191548	167602	168702	NC_030986.1	6854980	6130118	6131217	same	1083	1100	1099	98.4545	21
FoCotton	JH658006.1	90069	66592	69478	NC_030986.1	6854980	6130118	6133003	same	2771	2886	2885	96.0152	13
FoCotton	JH658113.1	23815	15551	18862	NC_030986.1	6854980	6178230	6181540	same	3168	3312	3310	95.6522	7
FoCotton	JH658041.1	58569	17903	19365	NC_030986.1	6854980	6178237	6179686	same	1392	1465	1449	95.0171	0
FoCotton	JH658049.1	43179	37699	42655	NC_030986.1	6854980	6229644	6232941	same	3142	4961	3297	63.3340	60
FoCotton	KK035473.1	4498	0	272	NC_030986.1	6854980	6242473	6242745	same	269	272	272	98.8971	0
FoCotton	JH658113.1	23815	20821	23815	NC_030986.1	6854980	6248092	6251084	same	2906	2997	2992	96.9636	0
FoCotton	JH658041.1	58569	24910	43076	NC_030986.1	6854980	6248092	6267704	same	17932	19550	19612	91.7238	1
FoCotton	KK035462.1	4687	282	4687	NC_030986.1	6854980	6249351	6253726	opposite	4267	4409	4375	96.7793	46
FoCotton	JH658232.1	7464	1499	1881	NC_030986.1	6854980	6277509	6277891	same	375	382	382	98.1675	0
FoCotton	JH658252.1	5659	0	5659	NC_030986.1	6854980	6287525	6292672	same	5139	5559	5147	92.4447	60
FoCotton	JH658028.1	66907	66194	66723	NC_030986.1	6854980	6292770	6293297	opposite	517	529	527	97.7316	0
FoCotton	JH658054.1	40292	38586	40292	NC_030986.1	6854980	6295595	6297492	opposite	1683	1907	1897	88.2538	0
FoCotton	JH658100.1	30125	0	1916	NC_030986.1	6854980	6296344	6298250	same	1899	1916	1906	99.1127	0
FoCotton	KK035243.1	40336	13953	14315	NC_030986.1	6854980	6328574	6328936	same	347	362	362	95.8564	0
FoCotton	JH658216.1	8975	7747	8346	NC_030986.1	6854980	6347299	6347898	same	596	599	599	99.4992	0
FoCotton	KK035318.1	12633	0	4907	NC_030986.1	6854980	6402977	6407925	opposite	4759	4953	4948	96.0832	0
FoCotton	JH658163.1	14682	3723	10130	NC_030986.1	6854980	6402988	6409627	same	5785	6634	6639	87.2023	0
FoCotton	JH658017.1	87296	54004	61205	NC_030986.1	6854980	6402994	6410136	opposite	6815	7123	7142	95.6760	0
FoCotton	JH658200.1	10198	0	1814	NC_030986.1	6854980	6408319	6410136	same	1757	1817	1817	96.6979	0
FoCotton	JH658087.1	30642	16204	16873	NC_030986.1	6854980	6418557	6419227	same	653	670	670	97.4627	0
FoCotton	KK035815.1	1176	0	1176	NC_030986.1	6854980	6419600	6420776	opposite	1162	1176	1176	98.8095	0
FoCotton	JH657976.1	181406	67016	67825	NC_030986.1	6854980	6423198	6424007	same	753	809	809	93.0779	1
FoCotton	JH658213.1	8985	1278	5714	NC_030986.1	6854980	6446512	6450309	same	3588	3900	3797	92.0000	43
FoCotton	JH658094.1	29423	14646	17257	NC_030986.1	6854980	6447697	6450309	same	2477	2612	2612	94.8315	60
FoCotton	KK035419.1	6121	3400	4224	NC_030986.1	6854980	6449490	6450309	opposite	794	825	819	96.2424	0
FoCotton	JH658012.1	85819	11368	13232	NC_030986.1	6854980	6459335	6461199	same	1813	1864	1864	97.2639	4
FoCotton	JH658047.1	46956	15499	17278	NC_030986.1	6854980	6459398	6461177	opposite	1725	1779	1779	96.9646	21
FoCotton	JH658209.1	9148	7023	8888	NC_030986.1	6854980	6478843	6480708	same	1834	1865	1865	98.3378	0
FoCotton	JH657996.1	99969	39822	40309	NC_030986.1	6854980	6483621	6484099	opposite	456	487	478	93.6345	0
FoCotton	KK035233.1	58640	11132	13740	NC_030986.1	6854980	6487201	6489817	opposite	2512	2617	2616	95.9878	0
FoCotton	JH658197.1	10237	9639	10237	NC_030986.1	6854980	6489885	6490483	same	571	598	598	95.4849	0
FoCotton	JH658138.1	21495	17032	18900	NC_030986.1	6854980	6491825	6493723	opposite	1760	1898	1898	92.7292	0
FoCotton	JH658133.1	20702	12578	12949	NC_030986.1	6854980	6494149	6494520	same	361	371	371	97.3046	0
FoCotton	JH658054.1	40292	911	4170	NC_030986.1	6854980	6535335	6538554	opposite	2947	3282	3219	89.7928	0
FoCotton	JH658016.1	79893	40438	43196	NC_030986.1	6854980	6544774	6549055	opposite	2646	4282	4281	61.7936	60
FoCotton	JH658019.1	79820	27809	32286	NC_030986.1	6854980	6544774	6550517	same	4043	6004	5743	67.3384	60
FoCotton	JH658155.1	20552	19629	20334	NC_030986.1	6854980	6551066	6551772	same	687	709	706	96.8970	0
FoCotton	KK035785.1	1240	65	892	NC_030986.1	6854980	6651563	6652390	same	788	827	827	95.2842	0
FoCotton	JH658102.1	26335	259	2341	NC_030986.1	6854980	6714451	6716557	same	1985	2107	2106	94.2098	60
FoCotton	KK035425.1	5865	0	658	NC_030986.1	6854980	6715733	6716391	same	620	658	658	94.2249	60
FoCotton	KK035243.1	40336	14402	25701	NC_030986.1	6854980	6723155	6734455	same	11247	11301	11300	99.5222	6
FoCotton	JH658011.1	86016	18462	18879	NC_030986.1	6854980	6752927	6753345	same	406	419	418	96.8974	0
FoCotton	JH658131.1	21696	158	640	NC_030986.1	6854980	6763231	6763713	opposite	480	482	482	99.5851	0
FoCotton	JH658111.1	26171	9694	10620	NC_030986.1	6854980	6767001	6767917	opposite	897	927	916	96.7638	0
FoCotton	JH658225.1	8828	5139	7309	NC_030986.1	6854980	6780735	6782897	same	2129	2171	2162	98.0654	0
FoCotton	KK035261.1	24093	3104	5474	NC_030986.1	6854980	6783650	6785751	opposite	2009	2401	2101	83.6735	0
FoCotton	KK035533.1	3454	1547	2996	NC_030986.1	6854980	6808466	6809899	same	1403	1449	1433	96.8254	0
FoCotton	JH657997.1	100508	46481	47943	NC_030986.1	6854980	6839401	6840863	same	1330	1475	1462	90.1695	0
FoCotton	KK035419.1	6121	5642	6000	NC_030986.1	6854980	6840505	6840863	opposite	348	358	358	97.2067	0
FoCotton	JH658034.1	67929	19730	20937	NC_030986.1	6854980	6849277	6850558	opposite	1091	1181	1281	92.3793	0
FoCotton	JH658047.1	46956	45466	46804	NC_030986.1	6854980	6850885	6852223	opposite	1248	1338	1338	93.2735	60
FoCotton	JH658115.1	27548	3564	4796	NC_030986.1	6854980	6850891	6852123	opposite	1148	1232	1232	93.1818	37
FoCotton	JH658126.1	23475	21126	22635	NC_030986.1	6854980	6850891	6852400	same	1399	1509	1509	92.7104	60
FoCotton	JH658120.1	25526	22794	24045	NC_030986.1	6854980	6850972	6852223	opposite	1150	1251	1251	91.9265	60
FoCotton	JH658070.1	34555	8886	10747	NC_030986.1	6854980	6852497	6854358	same	1806	1861	1861	97.0446	37
FoCotton	JH658000.1	99639	88208	99426	NC_030987.1	5577357	36402	47650	same	10978	11254	11248	97.5475	60
FoCotton	JH658075.1	33105	14828	32903	NC_030987.1	5577357	47652	66109	opposite	17523	18374	18457	95.3685	60
FoCotton	JH657938.1	512028	16846	24389	NC_030987.1	5577357	104622	112196	same	7172	7616	7574	94.1702	60
FoCotton	JH657938.1	512028	25489	32753	NC_030987.1	5577357	117444	124716	same	7061	7275	7272	97.0584	60
FoCotton	JH657938.1	512028	33190	36309	NC_030987.1	5577357	125179	128279	same	2991	3119	3100	95.8961	60
FoCotton	JH657938.1	512028	36414	40585	NC_030987.1	5577357	128384	132563	same	4068	4180	4179	97.3206	60
FoCotton	JH657938.1	512028	44835	48008	NC_030987.1	5577357	138341	141519	same	3012	3192	3178	94.3609	60
FoCotton	JH657938.1	512028	49731	63795	NC_030987.1	5577357	143036	156480	same	12995	13832	13444	93.9488	60
FoCotton	JH657938.1	512028	72511	74249	NC_030987.1	5577357	168313	171603	same	1590	3369	3290	47.1950	60
FoCotton	JH657938.1	512028	74465	75227	NC_030987.1	5577357	178248	179009	same	722	762	761	94.7507	60
FoCotton	JH657938.1	512028	76284	77917	NC_030987.1	5577357	180085	181713	same	1561	1633	1628	95.5909	60
