fol_id	fol_chromosome	fol_chromosome_class	fol_start	fol_end	fo47_id	fo47_chromosome	fo47_chromosome_class	fo47_start	fo47_end	alignment_length_bp	percent_identity	orientation
NC_030986.1	1	core	4812901	4927291	NC_072840.1	I	core	1395788	1508801	114390	97.6832	opposite
NC_030986.1	1	core	4977456	5058122	NC_072840.1	I	core	1265722	1346306	80666	99.1586	opposite
NC_030986.1	1	core	5070450	5124491	NC_072840.1	I	core	1196157	1250158	54041	98.6930	opposite
NC_030986.1	1	core	5158564	5292335	NC_072840.1	I	core	1028489	1162162	133771	99.2777	opposite
NC_030986.1	1	core	5292446	5343375	NC_072840.1	I	core	977469	1028387	50929	98.8524	opposite
NC_030986.1	1	core	5347194	5399582	NC_072840.1	I	core	921259	973647	52388	98.8102	opposite
NC_030986.1	1	core	5465226	5534022	NC_072840.1	I	core	788126	855033	68796	93.6704	opposite
NC_030986.1	1	core	5553717	5634952	NC_072840.1	I	core	687084	768312	81235	99.0088	opposite
NC_030986.1	1	core	5650546	5729216	NC_072840.1	I	core	594723	672690	78670	97.0857	opposite
NC_030987.1	2	core	541599	621183	NC_072843.1	IV	core	4123352	4196658	79584	90.2544	opposite
NC_030987.1	2	core	694377	831278	NC_072843.1	IV	core	3917038	4052767	136901	97.6159	opposite
NC_030987.1	2	core	831433	944922	NC_072843.1	IV	core	3801794	3916909	113489	94.3107	opposite
NC_030987.1	2	core	945176	1071864	NC_072843.1	IV	core	3675107	3801542	126688	98.9119	opposite
NC_030987.1	2	core	1186118	1254407	NC_072843.1	IV	core	3494298	3562567	68289	99.1955	opposite
NC_030987.1	2	core	1306469	1361102	NC_072843.1	IV	core	3388565	3443129	54633	98.6820	opposite
NC_030987.1	2	core	1404505	1458993	NC_072843.1	IV	core	3292261	3346722	54488	98.6350	opposite
NC_030987.1	2	core	1459226	1510957	NC_072843.1	IV	core	3241660	3292061	51731	96.5761	opposite
NC_030987.1	2	core	1523954	1606735	NC_072843.1	IV	core	3116893	3199349	82781	98.5766	opposite
NC_030987.1	2	core	1606989	1741634	NC_072843.1	IV	core	2982445	3116372	134645	98.3975	opposite
NC_030987.1	2	core	1779082	1850871	NC_072843.1	IV	core	2881686	2953481	71789	99.2942	opposite
NC_030987.1	2	core	1851042	2029157	NC_072843.1	IV	core	2703451	2881531	178115	99.2793	opposite
NC_030987.1	2	core	2075235	2152511	NC_072843.1	IV	core	2580356	2657540	77276	99.3766	opposite
NC_030987.1	2	core	2250043	2339339	NC_072843.1	IV	core	2395124	2483065	89296	97.3283	opposite
NC_030987.1	2	core	2339580	2418720	NC_072843.1	IV	core	2315811	2394910	79140	98.9034	opposite
NC_030987.1	2	core	2418967	2515623	NC_072843.1	IV	core	2219173	2315566	96656	99.0567	opposite
NC_030987.1	2	core	2698151	2899922	NC_072843.1	IV	core	1795661	1995834	201771	97.2380	opposite
NC_030987.1	2	core	2995601	3067882	NC_072843.1	IV	core	1627945	1700197	72281	99.3627	opposite
NC_030987.1	2	core	3136480	3288904	NC_072843.1	IV	core	1410427	1562713	152424	98.9007	opposite
NC_030987.1	2	core	3289211	3353679	NC_072843.1	IV	core	1346133	1410274	64468	97.5277	opposite
NC_030987.1	2	core	3381816	3475442	NC_072843.1	IV	core	1224165	1317913	93626	98.9552	opposite
NC_030987.1	2	core	3520481	3576624	NC_072843.1	IV	core	1122950	1179076	56143	98.7016	opposite
NC_030987.1	2	core	3576783	3639219	NC_072843.1	IV	core	1060343	1122792	62436	99.1234	opposite
NC_030987.1	2	core	3673840	3743849	NC_072843.1	IV	core	955719	1025722	70009	99.2478	opposite
NC_030987.1	2	core	3777189	3895056	NC_072843.1	IV	core	804527	922474	117867	98.9903	opposite
NC_030987.1	2	core	3966089	4033039	NC_072843.1	IV	core	667045	733758	66950	98.8790	opposite
NC_030987.1	2	core	4033460	4175514	NC_072843.1	IV	core	525497	666648	142054	98.1347	opposite
NC_030987.1	2	core	4182635	4288691	NC_072843.1	IV	core	411849	519481	106056	94.9222	opposite
NC_030987.1	2	core	4369721	4451558	NC_072843.1	IV	core	274297	357716	81837	96.5941	opposite
NC_030989.1	4	core	138625	218600	NC_072841.1	II	core	5079070	5156178	79975	93.7018	opposite
NC_030989.1	4	core	378163	447840	NC_072841.1	II	core	4839237	4908139	69677	94.0619	opposite
NC_030989.1	4	core	485588	685358	NC_072841.1	II	core	4603785	4801760	199770	98.0614	opposite
NC_030989.1	4	core	706318	883869	NC_072841.1	II	core	4405724	4582533	177551	98.5175	opposite
NC_030989.1	4	core	904757	975355	NC_072841.1	II	core	4313036	4384661	70598	97.7454	opposite
NC_030989.1	4	core	976551	1037066	NC_072841.1	II	core	4252084	4312463	60515	98.7875	opposite
NC_030989.1	4	core	1037178	1170656	NC_072841.1	II	core	4118343	4251993	133478	98.9222	opposite
NC_030989.1	4	core	1244904	1367001	NC_072841.1	II	core	3923762	4044186	122097	97.8077	opposite
NC_030989.1	4	core	1440340	1602766	NC_072841.1	II	core	3689310	3850738	162426	98.4750	opposite
NC_030989.1	4	core	1603191	1795353	NC_072841.1	II	core	3496943	3688973	192162	98.9797	opposite
NC_030989.1	4	core	1810845	1949030	NC_072841.1	II	core	3343604	3481754	138185	98.9983	opposite
NC_030989.1	4	core	1949337	2013098	NC_072841.1	II	core	3279400	3343125	63761	99.1143	opposite
NC_030989.1	4	core	2013317	2243201	NC_072841.1	II	core	3049472	3279169	229884	99.1612	opposite
NC_030989.1	4	core	2270015	2321880	NC_072841.1	II	core	2970930	3022724	51865	99.3113	opposite
NC_030989.1	4	core	2370133	2561273	NC_072841.1	II	core	2682880	2871511	191140	97.2325	opposite
NC_030989.1	4	core	2566242	2619044	NC_072841.1	II	core	2625072	2677894	52802	98.7216	opposite
NC_030989.1	4	core	2627766	2753773	NC_072841.1	II	core	2484599	2616363	126007	92.1267	opposite
NC_030989.1	4	core	2794500	2847888	NC_072841.1	II	core	2379552	2432293	53388	96.4315	opposite
NC_030989.1	4	core	2848343	2910441	NC_072841.1	II	core	2318659	2379224	62098	96.3023	opposite
NC_030989.1	4	core	3096220	3222232	NC_072841.1	II	core	2025237	2146334	126012	93.5800	opposite
NC_030989.1	4	core	3265416	3318063	NC_072841.1	II	core	1941502	1993504	52647	96.7427	opposite
NC_030989.1	4	core	3323332	3373460	NC_072841.1	II	core	1888255	1936389	50128	94.5889	opposite
NC_030989.1	4	core	3373547	3474718	NC_072841.1	II	core	1787233	1888193	101171	98.2714	opposite
NC_030989.1	4	core	3601911	3694716	NC_072841.1	II	core	1564500	1656475	92805	98.3126	opposite
NC_030989.1	4	core	3694830	3784471	NC_072841.1	II	core	1474855	1564391	89641	99.2993	opposite
NC_030989.1	4	core	3856476	3933937	NC_072841.1	II	core	1326362	1402981	77461	98.2697	opposite
NC_030989.1	4	core	4069624	4129697	NC_072841.1	II	core	1132083	1191182	60073	97.6300	opposite
NC_030989.1	4	core	4129829	4245217	NC_072841.1	II	core	1015178	1129495	115388	97.1808	opposite
NC_030989.1	4	core	4272567	4350128	NC_072841.1	II	core	910270	987799	77561	98.7883	opposite
NC_030989.1	4	core	4353440	4542015	NC_072841.1	II	core	717779	906678	188575	98.7845	opposite
NC_030989.1	4	core	4659708	4743224	NC_072841.1	II	core	504077	581867	83516	91.4951	opposite
NC_030989.1	4	core	5049909	5100759	NC_072841.1	II	core	119192	170945	50850	94.9309	opposite
NC_030990.1	5	core	488101	553288	NC_072842.1	III	core	4385564	4450751	65187	98.1651	opposite
NC_030990.1	5	core	581374	658311	NC_072842.1	III	core	4280859	4357632	76937	97.8723	opposite
NC_030990.1	5	core	658676	748499	NC_072842.1	III	core	4196458	4280486	89823	92.0042	opposite
NC_030990.1	5	core	763528	819839	NC_072842.1	III	core	4125190	4181545	56311	98.7443	opposite
NC_030990.1	5	core	880251	936138	NC_072842.1	III	core	3964018	4019844	55887	99.1755	opposite
NC_030990.1	5	core	936290	1077391	NC_072842.1	III	core	3822798	3963882	141101	99.1019	opposite
NC_030990.1	5	core	1158895	1213458	NC_072842.1	III	core	3690253	3744805	54563	98.8253	opposite
NC_030990.1	5	core	1213551	1288391	NC_072842.1	III	core	3615518	3690180	74840	98.9929	opposite
NC_030990.1	5	core	1328706	1399823	NC_072842.1	III	core	3506040	3576386	71117	98.1047	opposite
NC_030990.1	5	core	1514157	1599203	NC_072842.1	III	core	3307315	3391833	85046	98.5704	opposite
NC_030990.1	5	core	1656506	1711680	NC_072842.1	III	core	3190665	3245683	55174	99.1937	opposite
NC_030990.1	5	core	1779181	1937867	NC_072842.1	III	core	2969779	3123599	158686	95.8856	opposite
NC_030990.1	5	core	1950634	2035318	NC_072842.1	III	core	2872726	2957070	84684	98.8142	opposite
NC_030990.1	5	core	2036214	2276443	NC_072842.1	III	core	2633302	2871924	240229	98.2712	opposite
NC_030990.1	5	core	2298533	2348600	NC_072842.1	III	core	2561669	2611431	50067	98.6745	opposite
NC_030990.1	5	core	2376626	2455542	NC_072842.1	III	core	2456272	2534032	78916	98.0937	opposite
NC_030990.1	5	core	2467283	2526161	NC_072842.1	III	core	2385902	2444813	58878	99.1878	opposite
NC_030990.1	5	core	2526573	2613958	NC_072842.1	III	core	2299888	2385626	87385	96.3902	opposite
NC_030990.1	5	core	2614614	2666681	NC_072842.1	III	core	2246901	2299208	52067	98.6526	opposite
NC_030990.1	5	core	2666819	2733485	NC_072842.1	III	core	2179706	2246783	66666	98.4739	opposite
NC_030990.1	5	core	2733564	2783909	NC_072842.1	III	core	2129306	2179635	50345	99.2318	opposite
NC_030990.1	5	core	2784340	2836751	NC_072842.1	III	core	2076130	2128530	52411	99.2299	opposite
NC_030990.1	5	core	2836866	2892199	NC_072842.1	III	core	2020833	2076026	55333	99.1390	opposite
NC_030990.1	5	core	2918054	3053862	NC_072842.1	III	core	1859626	1995376	135808	99.1221	opposite
NC_030990.1	5	core	3054346	3201469	NC_072842.1	III	core	1712217	1859212	147123	99.0707	opposite
NC_030990.1	5	core	3212913	3398310	NC_072842.1	III	core	1517185	1700862	185397	98.4962	opposite
NC_030990.1	5	core	3431464	3491487	NC_072842.1	III	core	1424121	1483901	60023	99.0154	opposite
NC_030990.1	5	core	3538803	3593882	NC_072842.1	III	core	1320655	1375097	55079	97.5885	opposite
NC_030990.1	5	core	3636543	3724782	NC_072842.1	III	core	1190175	1278441	88239	99.2098	opposite
NC_030990.1	5	core	3744690	3813655	NC_072842.1	III	core	1101219	1170215	68965	99.0306	opposite
NC_030990.1	5	core	3845010	3937041	NC_072842.1	III	core	978045	1070136	92031	99.0006	opposite
NC_030990.1	5	core	3960402	4019093	NC_072842.1	III	core	897049	955654	58691	98.3902	opposite
NC_030990.1	5	core	4133763	4195908	NC_072842.1	III	core	721406	782935	62145	97.3815	opposite
NC_030990.1	5	core	4196331	4281910	NC_072842.1	III	core	635401	721082	85579	98.7731	opposite
NC_030990.1	5	core	4282012	4395156	NC_072842.1	III	core	522220	635309	113144	98.4217	opposite
NC_030992.1	7	core	12320	89040	NC_072844.1	V	core	46808	128361	76720	91.8433	same
NC_030992.1	7	core	234219	312684	NC_072844.1	V	core	269166	348408	78465	95.3224	same
NC_030992.1	7	core	382721	466978	NC_072844.1	V	core	426059	511111	84257	97.3744	same
NC_030992.1	7	core	585291	673851	NC_072844.1	V	core	621923	710390	88560	98.9192	same
NC_030992.1	7	core	734986	787068	NC_072844.1	V	core	772892	823647	52082	95.7988	same
NC_030992.1	7	core	851454	986715	NC_072844.1	V	core	880404	1016613	135261	96.3294	same
NC_030992.1	7	core	1026595	1134875	NC_072844.1	V	core	1056342	1164478	108280	99.0299	same
NC_030992.1	7	core	1180372	1250965	NC_072844.1	V	core	1209981	1280649	70593	98.9640	same
NC_030992.1	7	core	1251318	1320165	NC_072844.1	V	core	1280954	1349845	68847	99.0356	same
NC_030992.1	7	core	1361564	1428755	NC_072844.1	V	core	1391199	1458501	67191	98.6150	same
NC_030992.1	7	core	1430573	1501828	NC_072844.1	V	core	1462035	1532340	71255	97.7996	same
NC_030992.1	7	core	1502040	1561978	NC_072844.1	V	core	1532544	1592459	59938	99.1796	same
NC_030992.1	7	core	1562910	1653733	NC_072844.1	V	core	1593114	1682584	90823	97.4577	same
NC_030992.1	7	core	1860873	1964832	NC_072844.1	V	core	1888078	1991578	103959	97.9779	same
NC_030992.1	7	core	2004977	2056063	NC_072844.1	V	core	2031442	2082472	51086	99.1179	same
NC_030992.1	7	core	2056342	2189286	NC_072844.1	V	core	2082775	2213541	132944	97.5686	same
NC_030992.1	7	core	2283602	2384339	NC_072844.1	V	core	2341426	2441824	100737	99.0420	same
NC_030992.1	7	core	2409355	2509884	NC_072844.1	V	core	2466821	2567644	100529	98.8518	same
NC_030992.1	7	core	2561796	2688630	NC_072844.1	V	core	2619426	2746293	126834	99.0698	same
NC_030992.1	7	core	2689632	2754734	NC_072844.1	V	core	2788140	2853238	65102	98.9982	same
NC_030992.1	7	core	2786944	2945320	NC_072844.1	V	core	2885401	3043764	158376	98.8584	same
NC_030992.1	7	core	3031683	3105954	NC_072844.1	V	core	3129567	3203049	74271	97.5936	same
NC_030992.1	7	core	3122428	3316152	NC_072844.1	V	core	3219520	3410831	193724	97.8946	same
NC_030992.1	7	core	3316572	3439544	NC_072844.1	V	core	3411179	3534178	122972	99.0816	same
NC_030992.1	7	core	3439853	3492416	NC_072844.1	V	core	3534492	3586987	52563	99.1870	same
NC_030992.1	7	core	3504548	3569253	NC_072844.1	V	core	3598847	3663519	64705	99.3914	same
NC_030992.1	7	core	3570121	3726767	NC_072844.1	V	core	3664193	3819934	156646	98.5199	same
NC_030992.1	7	core	3757248	3889346	NC_072844.1	V	core	3850118	3981166	132098	98.0744	same
NC_030993.1	8	core	14662	78250	NC_072845.1	VI	core	4167756	4228305	63588	93.4536	opposite
NC_030993.1	8	core	226551	291621	NC_072845.1	VI	core	3995719	4061398	65070	95.9162	opposite
NC_030993.1	8	core	291706	403853	NC_072845.1	VI	core	3884410	3995644	112147	95.8821	opposite
NC_030993.1	8	core	447194	532700	NC_072845.1	VI	core	3757490	3841985	85506	97.6441	opposite
NC_030993.1	8	core	746611	806055	NC_072845.1	VI	core	3467433	3526854	59444	97.8407	opposite
NC_030993.1	8	core	934815	1065647	NC_072845.1	VI	core	3216650	3347697	130832	98.3288	opposite
NC_030993.1	8	core	1065864	1186355	NC_072845.1	VI	core	3096240	3216661	120491	98.8065	opposite
NC_030993.1	8	core	1271215	1333406	NC_072845.1	VI	core	2949592	3011734	62191	99.2400	opposite
NC_030993.1	8	core	1427343	1508497	NC_072845.1	VI	core	2775651	2856156	81154	98.4316	opposite
NC_030993.1	8	core	1597711	1725783	NC_072845.1	VI	core	2560057	2686506	128072	97.8773	opposite
NC_030993.1	8	core	1725913	1822832	NC_072845.1	VI	core	2463760	2559943	96919	98.3263	opposite
NC_030993.1	8	core	1892184	1948601	NC_072845.1	VI	core	2338989	2394655	56417	97.8125	opposite
NC_030993.1	8	core	1950563	2242236	NC_072845.1	VI	core	2045987	2337344	291673	98.9117	opposite
NC_030993.1	8	core	2251543	2351601	NC_072845.1	VI	core	1937534	2036258	100058	97.7344	opposite
NC_030993.1	8	core	2351717	2418795	NC_072845.1	VI	core	1870343	1937426	67078	99.2239	opposite
NC_030993.1	8	core	2457939	2556414	NC_072845.1	VI	core	1732292	1830683	98475	98.7857	opposite
NC_030993.1	8	core	2573511	2628074	NC_072845.1	VI	core	1660857	1715495	54563	98.8605	opposite
NC_030993.1	8	core	2801698	2865516	NC_072845.1	VI	core	1421559	1485476	63818	98.0069	opposite
NC_030993.1	8	core	3030742	3177291	NC_072845.1	VI	core	1099988	1246387	146549	98.9059	opposite
NC_030993.1	8	core	3241741	3307289	NC_072845.1	VI	core	970153	1035489	65548	98.9068	opposite
NC_030993.1	8	core	3393168	3452757	NC_072845.1	VI	core	784696	844013	59589	98.4254	opposite
NC_030994.1	9	core	273061	332403	NC_072847.1	VIII	core	551670	607720	59342	90.9103	same
NC_030994.1	9	core	479740	610139	NC_072847.1	VIII	core	733953	861796	130399	96.6735	same
NC_030994.1	9	core	610508	683662	NC_072847.1	VIII	core	862063	934527	73154	98.0548	same
NC_030994.1	9	core	694708	751079	NC_072847.1	VIII	core	943952	999284	56371	97.1439	same
NC_030994.1	9	core	798073	1029887	NC_072847.1	VIII	core	1046333	1279787	231814	97.9901	same
NC_030994.1	9	core	1032150	1175224	NC_072847.1	VIII	core	1281630	1424647	143074	99.1924	same
NC_030994.1	9	core	1175466	1273290	NC_072847.1	VIII	core	1424947	1522751	97824	99.1421	same
NC_030994.1	9	core	1292540	1359911	NC_072847.1	VIII	core	1542096	1609361	67371	99.2841	same
NC_030994.1	9	core	1360232	1434329	NC_072847.1	VIII	core	1609720	1683698	74097	98.8338	same
NC_030994.1	9	core	1633885	1763153	NC_072847.1	VIII	core	1882462	2009492	129268	97.5384	same
NC_030994.1	9	core	1798918	1849814	NC_072847.1	VIII	core	2045145	2095936	50896	99.2254	same
NC_030994.1	9	core	1874252	1969408	NC_072847.1	VIII	core	2119685	2214739	95156	98.7810	same
NC_030994.1	9	core	1977106	2179907	NC_072847.1	VIII	core	2286174	2487703	202801	98.6819	same
NC_030994.1	9	core	2180634	2386149	NC_072847.1	VIII	core	2488246	2693596	205515	99.0093	same
NC_030994.1	9	core	2511325	2565214	NC_072847.1	VIII	core	2817975	2871581	53889	98.9634	same
NC_030994.1	9	core	2629643	2753746	NC_072847.1	VIII	core	2935460	3058373	124103	97.7797	same
NC_030994.1	9	core	3156728	3301569	NC_072847.1	VIII	core	3411946	3553065	144841	95.4957	same
NC_030995.1	10	core	7863	91675	NC_072848.1	IX	core	344823	428959	83812	94.9656	same
NC_030995.1	10	core	188746	242963	NC_072848.1	IX	core	533207	586924	54217	96.1885	same
NC_030995.1	10	core	654059	770678	NC_072848.1	IX	core	1011145	1127655	116619	99.1379	same
NC_030995.1	10	core	848937	1033668	NC_072848.1	IX	core	1194348	1379631	184731	98.6456	same
NC_030995.1	10	core	1043772	1153734	NC_072848.1	IX	core	1389737	1499732	109962	98.8106	same
NC_030995.1	10	core	1178203	1230696	NC_072848.1	IX	core	1563989	1616484	52493	99.3469	same
NC_030995.1	10	core	1258724	1362423	NC_072848.1	IX	core	1644610	1748159	103699	99.0482	same
NC_030995.1	10	core	1392343	1593196	NC_072848.1	IX	core	1777787	1978541	200853	99.0931	same
NC_030995.1	10	core	1593302	1730369	NC_072848.1	IX	core	1978631	2115583	137067	99.0874	same
NC_030995.1	10	core	1748793	1843180	NC_072848.1	IX	core	2133910	2222851	94387	92.3391	same
NC_030995.1	10	core	1866740	1947011	NC_072848.1	IX	core	2242396	2322008	80271	98.0128	same
NC_030995.1	10	core	2007173	2104535	NC_072848.1	IX	core	2385403	2481470	97362	96.9349	same
NC_030995.1	10	core	2199846	2286146	NC_072848.1	IX	core	2575934	2660402	86300	96.5999	same
NC_030996.1	11	core	204631	272691	NC_072849.1	X	core	2101579	2174039	68060	91.4423	opposite
NC_030996.1	11	core	495147	579036	NC_072849.1	X	core	1746897	1830023	83889	97.6088	opposite
NC_030996.1	11	core	620081	678665	NC_072849.1	X	core	1647828	1706565	58584	97.3751	opposite
NC_030996.1	11	core	700449	801112	NC_072849.1	X	core	1522968	1623791	100663	98.2210	opposite
NC_030996.1	11	core	802167	950616	NC_072849.1	X	core	1380096	1522521	148449	92.0882	opposite
NC_030996.1	11	core	951029	1034704	NC_072849.1	X	core	1298670	1379814	83675	95.3323	opposite
NC_030996.1	11	core	1035326	1193651	NC_072849.1	X	core	1141069	1297869	158325	97.6626	opposite
NC_030996.1	11	core	1193787	1260576	NC_072849.1	X	core	1074869	1140928	66789	97.4652	opposite
NC_030996.1	11	core	1260742	1340547	NC_072849.1	X	core	996867	1074703	79805	91.4519	opposite
NC_030996.1	11	core	1465611	1535243	NC_072849.1	X	core	813063	878728	69632	92.9006	opposite
NC_030996.1	11	core	1964779	2048684	NC_072849.1	X	core	325849	407584	83905	95.0328	opposite
NC_030997.1	12	core	319680	373805	NC_072850.1	XI	core	790735	845183	54125	97.6038	same
NC_030997.1	12	core	373876	423975	NC_072850.1	XI	core	845255	895368	50099	98.3989	same
NC_030997.1	12	core	436249	564332	NC_072850.1	XI	core	907619	1033624	128083	96.8483	same
NC_030997.1	12	core	564467	648212	NC_072850.1	XI	core	1033747	1114902	83745	95.3490	same
NC_030997.1	12	core	754433	837783	NC_072850.1	XI	core	1224009	1306896	83350	94.0294	same
NC_030997.1	12	core	871127	966794	NC_072850.1	XI	core	1340279	1433253	95667	94.6850	same
NC_030997.1	12	core	1000018	1063089	NC_072850.1	XI	core	1465709	1528083	63071	97.5722	same
NC_030997.1	12	core	1102515	1156476	NC_072850.1	XI	core	1559623	1612121	53961	95.5191	same
NC_030997.1	12	core	1162713	1222320	NC_072850.1	XI	core	1618481	1676178	59607	93.3072	same
NC_030997.1	12	core	1225433	1295355	NC_072850.1	XI	core	1679229	1749357	69922	98.1084	same
NC_030997.1	12	core	1439277	1548161	NC_072850.1	XI	core	1933012	2038893	108884	93.8931	same
NC_030997.1	12	core	1918086	1988136	NC_072850.1	XI	core	2432276	2502302	70050	97.1774	same
NC_030998.1	13	core	215839	266989	NC_072851.1	XII	core	2008552	2059655	51150	97.9638	opposite
NC_030998.1	13	core	267637	348516	NC_072851.1	XII	core	1927743	2007607	80879	96.6832	opposite
NC_030998.1	13	core	441490	619750	NC_072851.1	XII	core	1653975	1822085	178260	91.7197	opposite
NC_030998.1	13	core	696986	870897	NC_072851.1	XII	core	1399611	1576174	173911	95.6546	opposite
NC_030998.1	13	core	872909	941018	NC_072851.1	XII	core	1331537	1397593	68109	94.6757	opposite
NC_030998.1	13	core	1044922	1265031	NC_072851.1	XII	core	1011132	1228027	220109	97.0378	opposite
NC_030998.1	13	core	1265523	1327804	NC_072851.1	XII	core	949185	1010688	62281	96.4322	opposite
NC_030998.1	13	core	1443501	1523993	NC_072851.1	XII	core	709159	791467	80492	93.9459	opposite
NC_031000.1	15	lineage_specific	1585237	1637451	NC_072846.1	VII	accessory	3420482	3469390	52214	93.2102	opposite
NC_031000.1	15	lineage_specific	1838847	1908973	NC_072846.1	VII	accessory	3178008	3246327	70126	95.7512	opposite
