query	accession	host_context	chromosome	ref_id	chromosome_class	chromosome_length_bp	aligned_bp	percent_aligned	alignment_blocks	weighted_mean_identity	largest_block_bp	same_orientation_aligned_bp	opposite_orientation_aligned_bp
FoCL57	GCA_000260155.3	tomato_crown_root_rot	12	NC_030997.1	core	2233407	1973656	88.3697	101	92.7623	108351	19358	1954298
FoCL57	GCA_000260155.3	tomato_crown_root_rot	13	NC_030998.1	core	1751499	1663602	94.9816	50	94.1696	163162	949	1663602
FoCL57	GCA_000260155.3	tomato_crown_root_rot	14	NC_030999.1	lineage_specific	1838362	132295	7.1964	101	91.5995	9927	62274	86986
FoCL57	GCA_000260155.3	tomato_crown_root_rot	15	NC_031000.1	lineage_specific	2434640	247566	10.1685	126	92.4749	25728	88240	178489
FoCotton	GCA_000260175.2	cotton_wilt	1	NC_030986.1	core	6854980	5497925	80.2034	217	97.1352	278823	3729362	1791219
FoCotton	GCA_000260175.2	cotton_wilt	2	NC_030987.1	core	5577357	4463649	80.0316	210	96.7256	178106	2587874	1881602
FoCotton	GCA_000260175.2	cotton_wilt	3	NC_030988.1	lineage_specific	5634991	902980	16.0245	498	89.9085	22479	491117	526553
FoCotton	GCA_000260175.2	cotton_wilt	4	NC_030989.1	core	5212762	4719683	90.5409	171	95.3243	199770	1076260	3643707
FoCotton	GCA_000260175.2	cotton_wilt	5	NC_030990.1	core	4914260	4605026	93.7074	170	94.7709	240229	3742649	866784
FoCotton	GCA_000260175.2	cotton_wilt	6	NC_030991.1	lineage_specific	4589937	637159	13.8817	384	90.9244	20751	266777	419019
FoCotton	GCA_000260175.2	cotton_wilt	7	NC_030992.1	core	4347182	4077828	93.8039	158	95.0449	193724	1239054	2842908
FoCotton	GCA_000260175.2	cotton_wilt	8	NC_030993.1	core	3984410	3646732	91.5250	178	96.3121	291673	2687120	963463
FoCotton	GCA_000260175.2	cotton_wilt	9	NC_030994.1	core	3304701	2963004	89.6603	139	96.0059	202801	1610000	1355551
FoCotton	GCA_000260175.2	cotton_wilt	10	NC_030995.1	core	2896840	2506733	86.5334	106	95.7417	200853	173702	2333040
FoCotton	GCA_000260175.2	cotton_wilt	11	NC_030996.1	core	2337134	2067620	88.4682	120	92.1647	109060	1211534	860502
FoCotton	GCA_000260175.2	cotton_wilt	12	NC_030997.1	core	2233407	1937997	86.7731	143	92.7578	122301	885202	1056482
FoCotton	GCA_000260175.2	cotton_wilt	13	NC_030998.1	core	1751499	1553686	88.7061	97	93.6249	102576	839894	713805
FoCotton	GCA_000260175.2	cotton_wilt	14	NC_030999.1	lineage_specific	1838362	414776	22.5623	245	91.5108	29880	223537	233444
FoCotton	GCA_000260175.2	cotton_wilt	15	NC_031000.1	lineage_specific	2434640	360898	14.8235	249	92.8458	17787	166360	243122
FolD11	GCA_003977725.1	tomato_wilt	1	NC_030986.1	core	6854980	6230616	90.8918	126	99.2910	297057	6216976	46246
FolD11	GCA_003977725.1	tomato_wilt	2	NC_030987.1	core	5577357	5078080	91.0481	173	97.7749	422213	4881205	328963
FolD11	GCA_003977725.1	tomato_wilt	3	NC_030988.1	lineage_specific	5634991	2476976	43.9571	140	94.4753	264299	1577153	1028269
FolD11	GCA_003977725.1	tomato_wilt	4	NC_030989.1	core	5212762	5152229	98.8388	73	97.9839	422626	592	5152229
FolD11	GCA_003977725.1	tomato_wilt	5	NC_030990.1	core	4914260	4801492	97.7053	119	99.6165	240229	21555	4801332
FolD11	GCA_003977725.1	tomato_wilt	6	NC_030991.1	lineage_specific	4589937	2388227	52.0318	106	93.4944	184149	2378855	49457
FolD11	GCA_003977725.1	tomato_wilt	7	NC_030992.1	core	4347182	4290228	98.6899	77	99.5109	343277	4290228	3453
FolD11	GCA_003977725.1	tomato_wilt	8	NC_030993.1	core	3984410	3916296	98.2905	84	99.5911	291673	3915971	5877
FolD11	GCA_003977725.1	tomato_wilt	9	NC_030994.1	core	3304701	3275423	99.1140	55	98.9644	335179	3137293	140650
FolD11	GCA_003977725.1	tomato_wilt	10	NC_030995.1	core	2896840	2840798	98.0654	59	99.4159	266802	0	2840798
FolD11	GCA_003977725.1	tomato_wilt	11	NC_030996.1	core	2337134	2307896	98.7490	30	99.3439	250176	2307896	0
FolD11	GCA_003977725.1	tomato_wilt	12	NC_030997.1	core	2233407	2220662	99.4293	40	99.1753	289513	2220662	9792
FolD11	GCA_003977725.1	tomato_wilt	13	NC_030998.1	core	1751499	1722819	98.3625	35	97.9210	243524	1722819	2599
FolD11	GCA_003977725.1	tomato_wilt	14	NC_030999.1	lineage_specific	1838362	1521688	82.7741	99	90.2244	246069	300133	1296369
FolD11	GCA_003977725.1	tomato_wilt	15	NC_031000.1	lineage_specific	2434640	1783001	73.2347	91	97.0307	220709	134093	1762523
